,Actual,Gru_predicted,cNN_1Fea_predicted,cNN_biLSTM_1fea-Copy1_predicted,gRU_biLSTM_1fea_predicted,vANILLA_LSTM_predicted,cNN_LSTM_1fea_predicted,biLSTM_predicted,sEQ2SEQ_predicted,sTACKED_LSTM_predicted
90,22.96,39.51555192121081,34.047371986543496,34.22385194318923,53.13916041768344,30.934148508483467,34.75900080868227,29.032425672507824,34.40535674216232,33.955247070426275
91,27.39,40.7930365108238,35.26742349144049,35.74668019579676,53.38044547321793,31.36160113037901,36.21617350731087,28.261058695544776,34.279807256931704,32.83458513638956
92,23.36,43.62623080974864,38.910171042912,37.72292310650562,55.01087734560125,36.97503205817039,38.88858548228165,35.91896050416304,39.11953877152262,32.050368709252176
93,38.389996,45.55328626095986,39.91475638257401,39.45298873982462,55.585966024029695,36.992209566922455,41.113839117289714,33.98628657613083,38.05019674996956,31.332614084359907
94,28.83,47.14521609473101,39.790278386553545,39.505759057152645,56.08245917957003,38.313496803853205,42.21143982480941,34.59299576423632,38.82947885351444,30.846086410000005
95,32.16,47.96992597264716,38.78257330816965,38.8607183424704,56.4108148376784,37.84293410821581,42.69331525721563,33.31927085974971,37.96226727195808,30.560362970916977
96,29.0,48.679887565995294,38.044129889648055,38.0413848563867,56.20127449194551,38.59025678309968,43.091589270188095,33.58901458450223,38.54297653229437,30.39684403404899
97,31.57,48.64887542641988,35.819015190372546,36.45898685590345,55.67823619114005,37.126177294493694,42.91793644519114,31.12336003043956,36.98849198353322,30.36385311282812
98,26.73,48.68543657495,34.10599023515991,34.56429079985604,54.86724726935698,37.471765193612406,42.70671202997276,31.10808131003239,37.38817640469979,30.41181541177505
99,29.729998,47.98957064319548,31.66716922326176,32.60996605350091,53.517263488393375,35.27597645933995,41.950068030486655,27.5032716338954,35.48263704625264,30.50468973881332
100,23.62,46.67714161175844,28.891622727912328,30.27058302946076,51.93897461745473,32.902099482063115,40.32071396257405,24.077682737491788,34.075649618291834,30.61062823488533
101,20.749998,44.68377592455579,26.03307055270963,27.947082885755687,50.441049542363984,29.715370581134884,38.11479344525949,20.234072008311408,32.54033820062307,30.704809820861712
102,16.08,43.391235753742464,25.199367743740936,26.657117236168315,49.19985665016344,29.98347654831276,36.809193315586135,21.05816509577849,32.9566191265692,30.762994421585613
103,21.45,42.47966157176442,24.782200576228057,26.21643203829048,48.30013410718958,29.60048967609489,36.32468652460883,20.77857587979638,32.89000996824411,30.785304132094726
104,20.12,42.00013541629046,24.529316492112205,26.05869998519203,47.532829947860286,29.82140801628916,36.10402289992424,21.03514386591176,33.098205163475455,30.767720341579288
105,21.27,42.57550617635773,25.876950996143545,26.89720239219439,47.22415264168994,32.305092639280936,36.95859553999195,23.96797824103284,34.63740467656886,30.730862375802342
106,27.46,44.11178172380695,28.445843219840864,28.9580571640283,47.70258415199832,35.37822052797815,38.93531420033046,27.41325180463505,36.893321006734105,30.703346785496187
107,31.81,49.7954783457938,38.49599520382273,35.81995405911071,49.73063746042848,47.489343063571056,44.94859164097638,43.10297357991005,51.83050370189391,30.745198017297632
108,62.045,56.60300505753696,46.59946811691363,44.67751960641717,53.01007649162014,55.38474919172888,52.71588639319878,50.3028084884733,59.58294075108052,30.95415735905802
109,62.045,60.43342110229848,46.21037649281083,47.56894060780304,56.01821192869834,53.69512227693036,56.415774422313184,45.00825401267381,54.09284054697261,31.37390746814428
110,44.34,62.07094290721573,44.21762549097039,46.25393495005319,57.816629732259926,52.36600411689205,56.46261260487855,41.97113573975022,51.04566837922061,31.97948622460764
111,43.34,62.25751254516645,42.65054410245774,44.83796090630041,59.19346600116977,50.68889825871821,55.65583806698295,39.78632503343634,48.471130312573166,32.76961584072597
112,40.97,60.72255899226335,39.36822531244587,42.342473061302165,59.96315311882103,46.29859647280856,53.55935259500964,35.08688703242156,43.22188151610724,33.65004526265662
113,32.2,58.44566336648253,36.75659561538037,39.59437479347947,59.75826080486812,43.01798701332448,50.761658480839074,32.24512924016298,40.32730709460977,34.475174052857284
114,30.22,57.25863014893555,36.5479183552588,38.644601705396646,59.36013835814935,44.102056222528205,49.66371674924856,34.787823657926545,42.091374090840944,35.21465527919931
115,37.81,56.78782326322276,37.433221053263104,38.97073860195788,59.45634924785576,44.60834645230041,49.85823098499712,36.37440867616811,42.86730489610969,35.89569087404719
116,37.57,55.79108989753687,36.54135469443908,38.26813639226136,58.26419224889916,42.24788729864927,49.0895122073,32.96586256295772,40.45033679087271,36.3880117474372
117,30.83,56.276674492984895,38.592079788317726,38.66794711863934,58.16887391602006,45.73414269318103,49.54600029221237,37.89171739103692,44.58400322788756,36.86371506517908
118,43.23,57.70084153478462,41.34624912663564,40.89051045264433,58.221829480991495,48.611169110639615,51.59073851907008,40.84411854849262,47.819020716225545,37.29227285767448
119,45.47,58.873172825723216,41.80551171602536,42.14610634911958,58.52876377524435,48.996559992048034,52.9973786076995,40.54031241330907,47.72456967913148,37.73978064205544
120,42.25,59.88834675227529,41.07291622879215,42.31767513812824,58.63667894787496,49.80125891430277,53.75107969575969,40.75549439181837,48.39098544575839,38.187031605839856
121,43.71,61.14768549318205,40.78572343908303,42.87119509662119,59.171206812745226,51.64512133293047,54.8846563376633,42.59435512407415,50.4467837989621,38.70239054979145
122,47.220005,62.22684563983556,40.46981305447248,43.680819922121,59.41480325364856,52.33210379814901,55.97863208561546,42.45134815353951,50.90057737269767,39.23772676801476
123,46.27,62.43727854239576,39.62996339188172,43.60650193572605,59.7797958434139,50.88459555328031,55.94612112419795,40.0656826898642,48.72603949024532,39.84954079174816
124,41.55,61.98127462746048,38.8093668536839,42.79622874347432,60.12234820728501,49.37122335083384,55.04301781173195,38.23686743208941,46.859357930089146,40.483483488521
125,39.77,61.40883414829798,39.17512148489143,42.45612670070461,60.8266597475093,48.764158403049535,54.24391842051649,38.28162578884019,46.34447052559348,41.12820001982729
126,40.420002,61.23481924836163,41.27865057748782,43.564526503800046,61.40141582221436,49.38588317570509,54.1598454616268,39.60297617837664,47.32882598056097,41.67381748225954
127,42.9,60.80777290822946,43.18574980529591,45.05521429027687,62.2029613243575,48.30087930793691,53.89448242262342,38.90715234835925,46.00153503591443,42.17711427852128
128,39.24,60.93481068986788,46.4495396207936,47.43601700331281,63.41382833529797,49.5480927485481,54.01116317692604,41.68761422151948,47.71903330069791,42.61363771968309
129,44.0,61.10769726324894,46.98562524993795,48.88496512759162,64.56010286112222,49.64692236630445,54.38050487613768,42.80437121943669,47.7501591149636,42.92564948343471
130,42.450005,61.041934349840304,44.90186292292757,47.456621593467865,65.6806490153818,49.08183285044614,54.28074480999059,43.50480518967063,46.97311682383442,43.124765439052375
131,40.86,61.866808424531285,45.282172124663504,46.88009724580304,64.9109492672094,51.74860740281422,55.11251093905096,46.153715974971306,50.41765781721044,42.856855244952186
132,48.48,63.95475145403941,47.72401393620127,48.90876102942168,64.28753621489463,56.03977643846012,57.64707340628643,49.83299099358324,55.61945374574879,42.72275700199582
133,55.64,65.9443027238574,48.39192431449656,50.57910534861127,64.80619172486409,57.46493708125629,59.97544682606516,50.26132564687181,56.59769181831022,42.99318487997683
134,52.91,68.2202721114212,49.93840532302788,52.07534214404281,65.49339311911575,60.3345241217627,62.065827546153535,52.63865917676763,59.645950210880365,43.42070696973865
135,58.1,69.43872164522011,50.17165736711656,53.162830014302095,65.97379499072215,59.442775647802655,63.07701022802498,50.138476988078565,57.73162632497949,44.02255551229163
136,51.620003,69.57360719066094,48.67834664241607,52.51057306187449,66.69734702481826,57.77404803531915,62.58361155016425,47.90447040191963,55.3160307363732,44.81293142357222
137,48.61,68.78354283223517,46.78449683128512,50.803204475046265,67.27193469257476,55.50964820512072,61.25885934026709,45.715803176483966,52.51554948720413,45.62211418083209
138,45.24,66.14899294947206,43.42338043004688,47.94354502415686,66.59890053286985,49.51687852063442,58.14171829556643,38.71325700814662,45.36192965549662,46.22352907549256
139,33.25,62.96626160848503,40.356656215568265,44.6604599825291,65.52768077384046,45.73393218449534,54.38942202406338,35.41817928669526,42.03542509235904,46.66258283105632
140,32.33,61.487084436941565,41.08408581965471,43.864846615148615,65.44909367129976,47.70446609964837,53.180538004942086,40.09902726567702,45.21457357551568,47.00716870883116
141,42.94,60.59730632427955,42.04128986434228,44.59830939816685,64.75835152095486,47.41086542554692,53.20717998420264,40.130953012948325,45.12813870917258,46.99295937254728
142,39.380005,61.29523524115382,44.832883436801644,46.406486384396885,64.48848780625148,50.95856830543074,54.38197843693749,44.64945037826766,49.75879510222598,46.86251556037445
143,48.9,63.569141643597874,48.883377892101535,49.79987797732466,65.17042648336097,55.80769482266386,57.32189221915822,50.361043611281765,55.65396453968033,46.77594175829879
144,56.28,67.0035740098872,52.88680681545552,53.69276457965066,66.43243026422853,61.03063424359262,61.25626587325943,55.82888462696512,61.50208107570991,46.747114698880814
145,62.55,71.14630916108145,56.81080660152607,57.79534309396325,67.93253199912928,66.26120249929069,65.58436655272226,60.54970189009829,66.98633755870314,46.85045341268458
146,68.18,74.25745070824003,57.81741282457068,60.409221023791886,69.32668892269746,67.28078026754733,68.54454390102724,59.66176362334917,66.77719717947306,47.21276412179427
147,62.92,76.63896073045987,57.89661040229986,61.525068624186936,70.8753508012125,68.63482265597098,70.21964150633963,60.21775495381209,67.5952549829215,47.88970953287925
148,64.8,79.4027208444977,59.71299301709798,63.48928306859564,72.70144628676822,72.44616661380925,72.61656076435177,64.30527788692434,71.83555669975797,48.836093431122514
